Question,Equation,Answer,Numbers
N_00 boys went down the slide. N_01 more boys went down the slide. How many boys went down the slide?,v0 = ( N_00 + N_01 ),35.0,22.0 13.0
N_00 birds were sitting in a tree. N_01 more birds flew up to the tree. How many birds were there altogether in the tree?,v0 = ( N_00 + N_01 ),217.0,179.0 38.0
"Kaleb was selling his old games. He started out with N_00 but sold N_01 of them. He packed the rest up, putting N_02 games into each box. How many boxes did he have to use?",v0 = ( ( N_00 - N_01 ) / N_02 ),6.0,76.0 46.0 5.0
Nancy has N_00 five dollars bills. How much money does she have?,v0 = N_00 * 5.0,45.0,9.0
"Sara grew N_00 pumpkins, but the rabbits ate N_01 pumpkins. How many pumpkins does Sara have?",v0 = N_00 - N_01,20,43.0 23.0
Sara has N_00 golf balls. How many dozen golf balls does she have?,v0 = N_00 / 12.0,16.0,192.0
Marcia spent N_00 minutes working on her science project. How many hours did Marcia spend on her science project?,v0 = N_00 / 60.0,5.0,300.0
There are N_00 walnut trees currently in the park. Park workers will plant N_01 more walnut trees today. How many walnut trees will the park have when the workers are finished?,v0 = N_00 + N_01,211.0,107.0 104.0
"Jack has a section filled with short story booklets. If each booklet has N_00 pages and there are N_01 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",v0 = N_00 * N_01,441.0,9.0 49.0
"The number of inquiries the first week was N_00 . The number of inquiries in the fourth week was N_01 . Find the average rate of change in the number of inquiries from the first week to the fourth week, in inquiries per week.",v0 = ( N_01 - N_00 ) / ( 4.0 - 1.0 ),21.3333,15.0 79.0
"Luke was selling his old games. He started out with N_00 but sold N_01 of them. He packed the rest up, putting N_02 games into each box. How many boxes did he have to use?",v0 = ( ( N_00 - N_01 ) / N_02 ),9.0,57.0 39.0 2.0
"John has N_00 sacks of apples and N_00 more apples in his pocket. Altogether, John has N_01 apples. How many apples are in each sack?",v0 = ( N_01 - N_00 ) / N_00,10.0,3.0 33.0
"The Montoya family spends N_00 of their budget on groceries and another N_01 going out to eat. Altogether, what fraction of their budget does the Montoya family spend on food?",v0 = N_00 + N_01,0.8,0.6 0.2
Amy paid N_00 dollars for a pair of running shoes during a N_01 off sale. What is the regular price of the running shoes?,v0 = N_00 / ( 1.0 - ( 15.0 * 0.01 ) ),74.54,63.36 0.15
Craig has N_00 apples. Judy has N_01 apples. He shares N_02 with Eugene. How many apples will Craig have?,v0 = ( N_00 - N_02 ),13.0,20.0 11.0 7.0
The school is planning a field trip. There are N_00 students and N_01 seats on each school bus. How many buses are needed to take the trip?,v0 = ( N_00 / N_01 ),3.0,180.0 60.0
"Rachel was playing a video game and had N_00 lives. In a hard part of the game, she lost N_01 lives. If she got N_02 more lives in the next level, how many lives would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),32.0,10.0 4.0 26.0
Keith grew N_00 turnips. Alyssa grew N_01 turnips. How many turnips did they grow in all?,v0 = N_00 + N_01,15,6.0 9.0
"Zoe baked N_00 brownies but needed N_01 total for her party. If she used N_02 cups of flour on each one, how much cups of flour does she still need?",v0 = ( N_02 * ( N_01 - N_00 ) ),42.0,5.0 11.0 7.0
"Emily bought N_00 new chairs and N_01 new tables for her house. If she spent N_02 minutes on each piece of furniture putting it together, how many minutes did it take her to finish?",v0 = ( N_02 * ( N_00 + N_01 ) ),48.0,4.0 2.0 8.0
Sam has N_00 books. Joan has N_01 books. How many books do they have together?,v0 = N_00 + N_01,212,110.0 102.0
Brenda starts with N_00 Skittles. She buys N_01 more. How many Skittles does Brenda end with?,v0 = ( N_00 + N_01 ),15.0,7.0 8.0
What is the MSRP for a hummer H1 that sold for N_00 dollars after an N_01 discount?,v0 = N_00 / ( 1.0 - N_01 * 0.01 ),117094.56,107272.0 0.08
The school is planning a field trip. There are N_00 students and N_01 seats on each school bus. How many buses are needed to take the trip?,v0 = ( N_00 / N_01 ),3.0,9.0 3.0
Sara's high school played N_00 basketball games this year. The team won most of their games. They were defeated during N_01 games. How many games did they win?,v0 = N_00 - N_01,8.0,12.0 4.0
"There are N_00 cards in Jean's card collection. If the cards are organized into N_01 groups, how big is each group?",v0 = ( N_00 / N_01 ),8.0,72.0 9.0
There are N_00 walnut trees currently in the park. Park workers will plant N_01 walnut trees today. How many walnut trees will the park have when the workers are finished?,v0 = N_00 + N_01,211,107.0 104.0
"How much water must be added to N_00 gallons of mixture which is N_01 percent alcohol, to reduce it to a N_02 percent mixture?",v0 = ( ( N_00 * N_01 ) * 0.01 - ( N_02 * 0.01 ) * N_00 ) / ( ( N_02 * 0.01 ) - 0.01 ),13.0,200.0 80.0 75.0
"David has N_00 bananas. He gets N_01 more from Christopher. Later, David buys N_02 cards at the store. How many bananas does David have in all?",v0 = ( N_00 + N_01 ),58.0,8.0 50.0 9.0
Ellen went to a garage sale to buy chairs. Each chair costs N_00 dollars. How much money did Ellen spend on the N_01 chairs she bought?,v0 = ( N_00 * N_01 ),180.0,15.0 12.0
Johnny saved $ N_00 in September. He saved $ N_01 in October and $ N_02 in November. Then Johnny spent $ N_03 on a video game. How much money does Johnny have left?,v0 = ( N_00 + ( N_01 + N_02 ) ) - N_03,67.0,30.0 49.0 46.0 58.0
"If Sally can paint a house in N_00 hours, and John can paint the same house in N_01 hours, how long will it take for both of them to paint together?",v0 = 1.0 / ( ( 1.0 / N_00 ) + ( 1.0 / N_01 ) ),2.4,4.0 6.0
"At the hardware store, N_00 of the nails are size N_02 d, and N_01 of the nails are size N_03 d. What fraction of the nails are either size N_02 d or N_03 d?",v0 = N_00 + N_01,0.75,0.25 0.5 2.0 4.0
The school is planning a field trip. There are N_00 students and N_01 seats on each school bus. How many buses are needed to take the trip?,v0 = ( N_00 / N_01 ),4.0,28.0 7.0
"Frank made N_00 dollars mowing lawns, and N_01 dollars weed eating. If he only spent N_02 dollars a week, how long would the money last him?",v0 = ( ( N_00 + N_01 ) / N_02 ),9.0,5.0 58.0 7.0
"A ship full of grain crashes into a coral reef. By the time the ship is fixed, N_00 tons of grain have spilled into the water. Only N_01 tons of grain remain onboard. How many tons of grain did the ship originally contain?",v0 = N_00 + N_01,50870.0,49952.0 918.0
A man invests N_00 of his capital at N_01 and the remainder at N_02 . What is the capital if his total income is N_03 dollars?,v0 = N_03 / ( ( ( 0.3333 * 3.0 ) * 0.01 ) + ( ( ( 1.0 - 0.3333 ) * 4.0 ) * 0.01 ) ),1200000.0,0.333333 0.03 0.04 44000.0
"In a class of N_00 students, N_01 received a grade of A. What percent of the students received A's?",v0 = ( N_01 / N_00 ) * 100.0,32.0,25.0 8.0
"During N_00 year, the Wagners' real estate bill included N_01 dollars for local schools. Of this amount, N_02 dollars went to the high school district. What percent did the Wagner family pay to the high school district?",v0 = ( N_02 / N_01 ) * 100.0,25.0,1.0 600.0 150.0
"If there are N_00 eggs in a box and Daniel puts N_01 more eggs inside, how many eggs are in the box?",v0 = ( N_00 + N_01 ),11.0,7.0 4.0
"A pet store had N_00 puppies. In one day, they sold N_01 of them and put the rest into cages, with N_02 in each cage. How many cages did they use?",v0 = ( ( N_00 - N_01 ) / N_02 ),3.0,13.0 7.0 2.0
"Will bought N_00 boxes of chocolate candy and gave N_01 to his little brother. If each box has N_02 pieces inside it, how many pieces did Will still have?",v0 = ( N_02 * ( N_00 - N_01 ) ),16.0,7.0 3.0 4.0
Fred has N_00 cents in his bank. How many dimes does Fred have?,v0 = N_00 / 10.0,9.0,90.0
N_00 is N_01 of what number?,v0 = N_00 / ( 61.3 * 0.01 ),93.0,57.009 0.613
There are N_00 squirrels in a tree with N_01 nuts. How many more squirrels are there than nuts?,v0 = ( N_00 - N_01 ),2.0,4.0 2.0
"Chloe baked N_00 brownies but needed N_01 total for her party. If she used N_02 cups of flour on each one, how much cups of flour does she still need?",v0 = ( N_02 * ( N_01 - N_00 ) ),54.0,7.0 16.0 6.0
There are N_00 oranges in a box. Deborah has N_01 oranges in a bag. Susan takes N_02 oranges out of the box. How many oranges are left in the box?,v0 = ( N_00 - N_02 ),20.0,55.0 11.0 35.0
"For the school bake sale, Amy made pastries. She baked N_00 cupcakes and N_01 cookies. After the sale, she had N_02 to take back home. How many pastries did she sell?",v0 = ( ( N_00 + N_01 ) - N_02 ),51.0,15.0 48.0 12.0
"There are N_00 students trying out for the school's trivia teams. If N_01 of them didn't get picked for the team and the rest were put into N_02 groups, how many students would be in each group?",v0 = ( ( N_00 - N_01 ) / N_02 ),5.0,25.0 15.0 2.0
"Allie counted the leftover ice cream after a sundae party. She had N_00 cartons of rocky road ice cream, N_00 cartons of cookie dough ice cream, and N_01 cartons of strawberry cheesecake ice cream. How many cartons of ice cream did Allie have in all?",v0 = N_00 + N_00 + N_01,0.8333333333333334,0.3333333333333333 0.16666666666666666
"Wendy was playing a video game and had N_00 lives. In a hard part of the game, she lost N_01 lives. If she got N_02 more lives in the next level, how many lives would she have?",v0 = ( ( N_00 + N_02 ) - N_01 ),74.0,43.0 8.0 39.0
"For Halloween, Katie and her sister combined the candy they received. Katie had N_00 pieces of candy while her sister had N_01 . If they ate N_02 pieces the first night, how many pieces do they have left?",v0 = ( ( N_00 + N_01 ) - N_02 ),7.0,10.0 6.0 9.0
There are N_00 apples in a box. Louise has N_01 apples in a bag. Scott takes N_02 apples out of the box. How many apples are left in the box?,v0 = ( N_00 - N_02 ),2.0,77.0 9.0 75.0
Student Council wants to rent a banquet hall for the prom. Caesar's charges N_00 dollars to rent the room and N_01 dollars for each meal. Venus Hall charges N_02 dollars to rent the room and N_03 dollars for each meal. How many guests must attend the prom for the costs of the N_04 halls to be the same?,v0 = ( N_00 - N_02 ) / ( N_03 - N_01 ),60.0,800.0 30.0 500.0 35.0 2.0
"Olivia uploaded N_00 pictures from her phone and N_01 from her camera to Facebook. If she sorted the pics into N_02 different albums with the same amount of pics in each album, how many pictures were in each of the albums?",v0 = ( ( N_00 + N_01 ) / N_02 ),5.0,5.0 35.0 8.0
"Tiffany had N_00 pages of math homework and N_01 pages of reading homework. If each page had N_02 problems on it, how many problems did she have to complete in total?",v0 = ( N_02 * ( N_00 + N_01 ) ),30.0,6.0 4.0 3.0
There are N_00 crayons in the drawer. Mary took N_01 crayons out of the drawer. How many crayons are there now?,v0 = N_00 - N_01,4.0,7.0 3.0
"A pet shelter had N_00 puppies when another N_01 were brought in. If N_02 puppies a day are adopted, how long would it take for all of them to be adopted?",v0 = ( ( N_00 + N_01 ) / N_02 ),7.0,9.0 12.0 3.0
Gordon bought N_00 pounds of fruit for a class party. The class ate N_01 pounds of fruit. How much fruit is left?,v0 = N_00 - N_01,1.22,3.42 2.2
"Last year at Newberg's airport, N_00 passengers landed on time. Unfortunately, N_01 passengers landed late. In all, how many passengers landed in Newberg last year?",v0 = N_00 + N_01,14720.0,14507.0 213.0
"Mary found N_00 seashells, Melanie found N_01 seashells, and Jason found N_02 seashells on the beach. When they cleaned them, they discovered that N_03 were cracked. How many seashells did they find together?",v0 = N_00 + N_01 + N_02,100,45.0 23.0 32.0 31.0
"Ellen made smoothies in the blender. She used N_01 of a cup of strawberries, N_00 of a cup of yogurt, and N_01 of a cup of orange juice. How many cups of ingredients did Ellen use for the smoothies?",v0 = N_01 + N_00 + N_01,0.5,0.1 0.2
Brenda has N_00 apples. She gets N_01 more from Willie. How many apples does Brenda have in all?,v0 = ( N_00 + N_01 ),71.0,34.0 37.0
Daniel had some noodles. He gave N_00 noodles to William. Now Daniel only has N_01 noodles. How many noodles did Daniel have to begin with?,v0 = ( N_00 + N_01 ),66.0,12.0 54.0
There are N_00 popular trees currently in the park. Park workers will plant N_01 popular trees today. How many popular trees will the park have when the workers are finished?,v0 = N_00 + N_01,98,25.0 73.0
"If Harold split N_00 apples between N_01 people in her class and kept the leftovers, how many apples did each classmate get?",v0 = ( N_00 / N_01 ),5.0,15.0 3.0
There are N_00 dogwood trees currently in the park. Park workers will plant N_01 more dogwood trees today. How many dogwood trees will the park have when the workers are finished?,v0 = N_00 + N_01,83.0,34.0 49.0
"Paul made N_00 dollars mowing lawns and N_00 dollars weed eating. If he only spent N_00 dollars a week, how long would the money last him?",v0 = ( ( N_00 + N_00 ) / N_00 ),2.0,3.0
"Wendy's old washing machine could only wash N_00 pieces of clothing at a time. If she had to wash N_01 shirts and N_02 sweaters, how many loads would she have to do?",v0 = ( ( N_01 + N_02 ) / N_00 ),9.0,8.0 39.0 33.0
"A pet store had N_00 puppies. In one day, they sold N_01 of them and put the rest into cages, with N_02 in each cage. How many cages did they use?",v0 = ( ( N_00 - N_01 ) / N_02 ),6.0,78.0 30.0 8.0
A restaurant sold N_00 pies every day for a week. How many pies were sold during the week?,v0 = N_00 * 7.0,56.0,8.0
The school is planning a field trip. There are N_00 students and N_01 seats on each school bus. How many buses are needed to take the trip?,v0 = ( N_00 / N_01 ),5.0,45.0 9.0
Sam got N_00 pennies for washing clothes and N_01 quarters for mowing lawns. How much money does Sam have?,v0 = ( N_00 * 0.01 ) + ( N_01 * 0.25 ),1.84,9.0 7.0
"The library is divided into different sections for different types of books. The science fiction section has N_00 books. If each book has N_01 pages, how many pages do all the books have in total?",v0 = N_00 * N_01,3824.0,8.0 478.0
Lucy went to the grocery store. She bought N_00 packs of cookies and N_01 packs of noodles. How many packs of groceries did she buy in all?,v0 = ( N_00 + N_01 ),28.0,12.0 16.0
"A bracelet was marked up N_00 dollars from cost, which amounts to a N_01 increase. Find the original cost of the bracelet.",v0 = N_00 / 0.01 / 50.0,350.0,175.0 0.5
Gino has N_00 popsicle sticks. I have N_01 popsicle sticks. What is the sum of our popsicle sticks?,v0 = ( N_00 + N_01 ),113.0,63.0 50.0
"Albert has N_00 oranges stored in boxes. If there are N_01 boxes, how many oranges must go in each box?",v0 = ( N_00 / N_01 ),5.0,35.0 7.0
"There are N_00 candies in Kathy's candy collection. If the candies are organized into N_01 groups, how big is each group?",v0 = ( N_00 / N_01 ),3.0,30.0 10.0
"Uncle Dave bought N_00 ice cream sandwiches. If he wants to give them to his N_01 hungry nieces, how many can each niece get?",v0 = ( N_00 / N_01 ),13.0,143.0 11.0
